   0.084265  0.262687  0.006781 -0.003297
   0.113495  0.262687 -0.002570  0.001250
   0.146447  0.262687 -0.013196  0.006422
   0.182803  0.262687 -0.022591  0.010999
   0.222215  0.262687 -0.027909  0.013591
   0.264302  0.262687 -0.027861  0.013568
   0.308658  0.262687 -0.024018  0.011694
   0.354858  0.262687 -0.019499  0.009492
   0.402455  0.262687 -0.016357  0.007962
   0.450991  0.262687 -0.014733  0.007171
   0.500000  0.262687 -0.014244  0.006932
   0.549009  0.262687 -0.014743  0.007176
   0.597545  0.262687 -0.016381  0.007973
   0.645142  0.262687 -0.019545  0.009515
   0.691342  0.262687 -0.024098  0.011734
   0.735698  0.262687 -0.027957  0.013614
   0.777785  0.262687 -0.027945  0.013609
   0.817197  0.262687 -0.022487  0.010948
   0.853553  0.262687 -0.012955  0.006305
   0.886505  0.262687 -0.002278  0.001108
   0.915735  0.262687  0.007031 -0.003419
   0.940961  0.262687  0.013758 -0.006688
   0.961940  0.262687  0.017892 -0.008697
   0.978470  0.262687  0.020079 -0.009759
   0.990393  0.262687  0.021074 -0.010243
   0.997592  0.262687  0.021452 -0.010426
   1.000000  0.262687  0.021543 -0.010471
   0.000000  0.280597  0.018888 -0.009181
   0.002408  0.280597  0.018778 -0.009127
   0.009607  0.280597  0.018358 -0.008923
   0.021530  0.280597  0.017349 -0.008433
   0.038060  0.280597  0.015272 -0.007424
   0.059039  0.280597  0.011510 -0.005596
   0.084265  0.280597  0.005555 -0.002701
   0.113495  0.280597 -0.002545  0.001238
   0.146447  0.280597 -0.011749  0.005717
   0.182803  0.280597 -0.019979  0.009726
   0.222215  0.280597 -0.024869  0.012109
   0.264302  0.280597 -0.025288  0.012314
   0.308658  0.280597 -0.022389  0.010900
   0.354858  0.280597 -0.018667  0.009087
   0.402455  0.280597 -0.015911  0.007744
   0.450991  0.280597 -0.014420  0.007018
   0.500000  0.280597 -0.013963  0.006795
   0.549009  0.280597 -0.014429  0.007023
   0.597545  0.280597 -0.015933  0.007755
   0.645142  0.280597 -0.018708  0.009107
   0.691342  0.280597 -0.022454  0.010932
   0.735698  0.280597 -0.025359  0.012348
   0.777785  0.280597 -0.024887  0.012118
   0.817197  0.280597 -0.019886  0.009681
   0.853553  0.280597 -0.011553  0.005622
   0.886505  0.280597 -0.002311  0.001124
   0.915735  0.280597  0.005759 -0.002801
   0.940961  0.280597  0.011650 -0.005664
   0.961940  0.280597  0.015351 -0.007462
   0.978470  0.280597  0.017382 -0.008449
   0.990393  0.280597  0.018364 -0.008926
   0.997592  0.280597  0.018769 -0.009123
   1.000000  0.280597  0.018875 -0.009175
   0.000000  0.298508  0.016584 -0.008062
   0.002408  0.298508  0.016466 -0.008004
   0.009607  0.298508  0.016035 -0.007795
   0.021530  0.298508  0.015059 -0.007321
   0.038060  0.298508  0.013139 -0.006388
   0.059039  0.298508  0.009769 -0.004750
   0.084265  0.298508  0.004537 -0.002206
   0.113495  0.298508 -0.002518  0.001225
   0.146447  0.298508 -0.010531  0.005125
   0.182803  0.298508 -0.017775  0.008652
   0.222215  0.298508 -0.022275  0.010844
   0.264302  0.298508 -0.023031  0.011213
   0.308658  0.298508 -0.020887  0.010168
   0.354858  0.298508 -0.017840  0.008684
   0.402455  0.298508 -0.015443  0.007516
   0.450991  0.298508 -0.014089  0.006857
   0.500000  0.298508 -0.013667  0.006651
   0.549009  0.298508 -0.014097  0.006861
   0.597545  0.298508 -0.015462  0.007526
   0.645142  0.298508 -0.017875  0.008701
   0.691342  0.298508 -0.020939  0.010194
   0.735698  0.298508 -0.023083  0.011239
   0.777785  0.298508 -0.022279  0.010847
   0.817197  0.298508 -0.017693  0.008612
   0.853553  0.298508 -0.010369  0.005046
   0.886505  0.298508 -0.002327  0.001132
   0.915735  0.298508  0.004705 -0.002288
   0.940961  0.298508  0.009889 -0.004808
   0.961940  0.298508  0.013210 -0.006422
   0.978470  0.298508  0.015095 -0.007338
   0.990393  0.298508  0.016048 -0.007802
   0.997592  0.298508  0.016467 -0.008005
   1.000000  0.298508  0.016581 -0.008060
   0.000000  0.316418  0.014597 -0.007096
   0.002408  0.316418  0.014475 -0.007037
   0.009607  0.316418  0.014044 -0.006828
   0.021530  0.316418  0.013108 -0.006373
   0.038060  0.316418  0.011334 -0.005511
   0.059039  0.316418  0.008307 -0.004039
   0.084265  0.316418  0.003686 -0.001793
   0.113495  0.316418 -0.002489  0.001211
   0.146447  0.316418 -0.009499  0.004622
   0.182803  0.316418 -0.015904  0.007741
   0.222215  0.316418 -0.020046  0.009759
   0.264302  0.316418 -0.021044  0.010245
   0.308658  0.316418 -0.019503  0.009494
   0.354858  0.316418 -0.017028  0.008289
   0.402455  0.316418 -0.014960  0.007281
   0.450991  0.316418 -0.013744  0.006689
   0.500000  0.316418 -0.013357  0.006501
   0.549009  0.316418 -0.013752  0.006693
   0.597545  0.316418 -0.014976  0.007289
   0.645142  0.316418 -0.017058  0.008303
   0.691342  0.316418 -0.019544  0.009514
   0.735698  0.316418 -0.021081  0.010263
   0.777785  0.316418 -0.020042  0.009757
   0.817197  0.316418 -0.015830  0.007705
   0.853553  0.316418 -0.009364  0.004556
   0.886505  0.316418 -0.002332  0.001134
   0.915735  0.316418  0.003826 -0.001861
   0.940961  0.316418  0.008409 -0.004089
   0.961940  0.316418  0.011400 -0.005543
   0.978470  0.316418  0.013145 -0.006391
   0.990393  0.316418  0.014063 -0.006837
   0.997592  0.316418  0.014482 -0.007040
   1.000000  0.316418  0.014602 -0.007099
   0.000000  0.334328  0.012876 -0.006260
   0.002408  0.334328  0.012754 -0.006200
   0.009607  0.334328  0.012329 -0.005994
   0.021530  0.334328  0.011438 -0.005561
   0.038060  0.334328  0.009801 -0.004765
   0.059039  0.334328  0.007072 -0.003439
   0.084265  0.334328  0.002974 -0.001446
   0.113495  0.334328 -0.002457  0.001195
   0.146447  0.334328 -0.008618  0.004193
   0.182803  0.334328 -0.014306  0.006963
   0.222215  0.334328 -0.018122  0.008821
   0.264302  0.334328 -0.019288  0.009389
   0.308658  0.334328 -0.018229  0.008874
   0.354858  0.334328 -0.016238  0.007904
   0.402455  0.334328 -0.014469  0.007042
   0.450991  0.334328 -0.013388  0.006516
   0.500000  0.334328 -0.013038  0.006345
   0.549009  0.334328 -0.013395  0.006519
   0.597545  0.334328 -0.014484  0.007049
   0.645142  0.334328 -0.016263  0.007916
   0.691342  0.334328 -0.018263  0.008890
   0.735698  0.334328 -0.019314  0.009402
   0.777785  0.334328 -0.018113  0.008817
   0.817197  0.334328 -0.014241  0.006931
   0.853553  0.334328 -0.008505  0.004138
   0.886505  0.334328 -0.002326  0.001132
   0.915735  0.334328  0.003091 -0.001503
