# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
1

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,FuselageGeom,0,ILQFULOCMW,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,21,17
# x,y,z,u,w
3.625158919492172949e-01, -2.161713699168540948e-01, 5.058008164063287210e-02, 2.000000000000000111e-01, 2.250000000000000000e+00
3.816314966543016274e-01, -1.670733489932181570e-01, 9.174532190917374097e-02, 2.000000000000000111e-01, 2.500000000000000000e+00
4.008924337189464504e-01, -9.120374237298342623e-02, 1.200410957049352634e-01, 2.000000000000000111e-01, 2.750000000000000000e+00
4.096953187002585484e-01, 3.596138221810806551e-18, 1.263142595719470296e-01, 2.000000000000000111e-01, 3.000000000000000000e+00
4.008924337189462839e-01, 9.120374237298339848e-02, 1.200410957049352773e-01, 2.000000000000000111e-01, 3.250000000000000000e+00
3.816314966543015164e-01, 1.670733489932180738e-01, 9.174532190917374097e-02, 2.000000000000000111e-01, 3.500000000000000000e+00
3.625158919492171838e-01, 2.161713699168538450e-01, 5.058008164063284434e-02, 2.000000000000000111e-01, 3.750000000000000000e+00
3.538751026245671172e-01, 2.321510945282100891e-01, 0.000000000000000000e+00, 2.000000000000000111e-01, 4.000000000000000000e+00
8.355420056333073831e-01, 3.927699813442362964e-01, 0.000000000000000000e+00, 4.000000000000000222e-01, 0.000000000000000000e+00
8.452911019285161975e-01, 3.575751060124706115e-01, -1.143569279123651111e-01, 4.000000000000000222e-01, 2.500000000000000000e-01
8.670567183505453190e-01, 2.867429474035791959e-01, -2.096363410853183951e-01, 4.000000000000000222e-01, 5.000000000000000000e-01
8.892583318512539137e-01, 1.467168073256323590e-01, -2.271690823951371119e-01, 4.000000000000000222e-01, 7.500000000000000000e-01
8.994937151164508204e-01, -4.914089064507341810e-17, -2.292789886892931950e-01, 4.000000000000000222e-01, 1.000000000000000000e+00
8.892583318512539137e-01, -1.467168073256325256e-01, -2.271690823951371674e-01, 4.000000000000000222e-01, 1.250000000000000000e+00
8.670567183505452080e-01, -2.867429474035791959e-01, -2.096363410853184228e-01, 4.000000000000000222e-01, 1.500000000000000000e+00
8.452911019285183070e-01, -3.575751060124706671e-01, -1.143569279123651666e-01, 4.000000000000000222e-01, 1.750000000000000000e+00
8.355420056333071610e-01, -3.927699813442362964e-01, -2.394451990200091314e-17, 4.000000000000000222e-01, 2.000000000000000000e+00
8.452911019285185290e-01, -3.730072071533724332e-01, 9.722994947141788691e-02, 4.000000000000000222e-01, 2.250000000000000000e+00
8.670567183505454301e-01, -2.966603441908565730e-01, 1.729585727374219339e-01, 4.000000000000000222e-01, 2.500000000000000000e+00
8.892583318512539137e-01, -1.656262870970329204e-01, 2.245731068191165192e-01, 4.000000000000000222e-01, 2.750000000000000000e+00
8.994937151164512645e-01, 7.457745591556948613e-18, 2.292789886892931950e-01, 4.000000000000000222e-01, 3.000000000000000000e+00
8.892583318512536916e-01, 1.656262870970328649e-01, 2.245731068191165192e-01, 4.000000000000000222e-01, 3.250000000000000000e+00
8.670567183505453190e-01, 2.966603441908565175e-01, 1.729585727374219339e-01, 4.000000000000000222e-01, 3.500000000000000000e+00
8.452911019285183070e-01, 3.730072071533722666e-01, 9.722994947141785915e-02, 4.000000000000000222e-01, 3.750000000000000000e+00
8.355420056333073831e-01, 3.927699813442362964e-01, 0.000000000000000000e+00, 4.000000000000000222e-01, 4.000000000000000000e+00
1.390271357329764035e+00, 4.933133208961576477e-01, 0.000000000000000000e+00, 5.999999999999999778e-01, 0.000000000000000000e+00
1.396808365933208229e+00, 4.497323037916508559e-01, -1.677533679183611237e-01, 5.999999999999999778e-01, 2.500000000000000000e-01
1.411666191719638475e+00, 3.735100577417174716e-01, -3.082982564298645256e-01, 5.999999999999999778e-01, 5.000000000000000000e-01
1.427178013124088318e+00, 1.890082587177512319e-01, -3.181260320571349109e-01, 5.999999999999999778e-01, 7.500000000000000000e-01
1.434444452182513929e+00, -4.040464522885544142e-17, -3.140865880206659133e-01, 5.999999999999999778e-01, 1.000000000000000000e+00
1.427178013124088096e+00, -1.890082587177514817e-01, -3.181260320571350220e-01, 5.999999999999999778e-01, 1.250000000000000000e+00
1.411666191719638253e+00, -3.735100577417174716e-01, -3.082982564298645256e-01, 5.999999999999999778e-01, 1.500000000000000000e+00
1.396808365933210894e+00, -4.497323037916509669e-01, -1.677533679183611792e-01, 5.999999999999999778e-01, 1.750000000000000000e+00
1.390271357329763591e+00, -4.933133208961576477e-01, -1.593276540974855272e-17, 5.999999999999999778e-01, 2.000000000000000000e+00
1.396808365933210894e+00, -4.781413990737654052e-01, 1.362241576066173243e-01, 5.999999999999999778e-01, 2.250000000000000000e+00
1.411666191719638253e+00, -3.917670836455688921e-01, 2.407778192439641862e-01, 5.999999999999999778e-01, 2.500000000000000000e+00
