   xfusel    yspan       cp      dMACH
   0.691342  0.350531  0.510510 -0.250802
   0.735698  0.350531 -0.848525  0.460189
   0.777785  0.350531 -1.525166  1.079587
   0.817197  0.350531 -1.649393  1.285875
   0.853553  0.350531 -1.578062  1.159731
   0.886505  0.350531 -1.424021  0.948426
   0.915735  0.350531 -1.247398  0.764816
   0.940961  0.350531 -1.087084  0.629204
   0.961940  0.350531 -0.959624  0.535065
   0.978470  0.350531 -0.866969  0.472227
   0.990393  0.350531 -0.805325  0.432538
   0.997592  0.350531 -0.770344  0.410673
   1.000000  0.350531 -0.759022  0.403691
   0.000000  0.370281 -0.643202  0.334656
   0.002408  0.370281 -0.652057  0.339792
   0.009607  0.370281 -0.679400  0.355792
   0.021530  0.370281 -0.727517  0.384494
   0.038060  0.370281 -0.800025  0.429196
   0.059039  0.370281 -0.900925  0.494782
   0.084265  0.370281 -1.032155  0.587401
   0.113495  0.370281 -1.188416  0.712233
   0.146447  0.370281 -1.350283  0.866151
   0.182803  0.370281 -1.480786  1.018961
   0.222215  0.370281 -1.530826  1.087722
   0.264302  0.370281 -1.446758  0.975833
   0.308658  0.370281 -1.207835  0.729161
   0.354858  0.370281 -0.927818  0.513025
   0.402455  0.370281 -0.719144  0.379448
   0.450991  0.370281 -0.562430  0.288753
   0.500000  0.370281 -0.433668  0.218639
   0.549009  0.370281 -0.248878  0.123001
   0.597545  0.370281  0.187746 -0.090992
   0.645142  0.370281  0.793675 -0.406718
   0.691342  0.370281  0.509839 -0.250458
   0.735698  0.370281 -0.638818  0.332121
   0.777785  0.370281 -1.314290  0.829126
   0.817197  0.370281 -1.485204  1.024762
   0.853553  0.370281 -1.441613  0.969537
   0.886505  0.370281 -1.311402  0.826234
   0.915735  0.370281 -1.158309  0.686676
   0.940961  0.370281 -1.018057  0.576987
   0.961940  0.370281 -0.905430  0.497814
   0.978470  0.370281 -0.822701  0.443570
   0.990393  0.370281 -0.767204  0.408733
   0.997592  0.370281 -0.735509  0.389332
   1.000000  0.370281 -0.725223  0.383109
   0.000000  0.390031 -0.617850  0.320068
   0.002408  0.390031 -0.625970  0.324722
   0.009607  0.390031 -0.650979  0.339165
   0.021530  0.390031 -0.694741  0.364866
   0.038060  0.390031 -0.760155  0.404388
   0.059039  0.390031 -0.850270  0.461321
   0.084265  0.390031 -0.966136  0.539643
   0.113495  0.390031 -1.102494  0.641308
   0.146447  0.390031 -1.241813  0.759683
   0.182803  0.390031 -1.350089  0.865946
   0.222215  0.390031 -1.378664  0.896719
   0.264302  0.390031 -1.273675  0.789435
   0.308658  0.390031 -1.022722  0.580419
   0.354858  0.390031 -0.734342  0.388625
   0.402455  0.390031 -0.516396  0.263292
   0.450991  0.390031 -0.356352  0.178016
   0.500000  0.390031 -0.215591  0.106247
   0.549009  0.390031 -0.011779  0.005732
   0.597545  0.390031  0.387152 -0.188580
   0.645142  0.390031  0.821643 -0.423843
   0.691342  0.390031  0.505856 -0.248414
   0.735698  0.390031 -0.467336  0.236651
   0.777785  0.390031 -1.111305  0.648307
   0.817197  0.390031 -1.316319  0.831165
   0.853553  0.390031 -1.303227  0.818106
   0.886505  0.390031 -1.199558  0.721902
   0.915735  0.390031 -1.070275  0.616195
   0.940961  0.390031 -0.949320  0.527868
   0.961940  0.390031 -0.850762  0.461641
   0.978470  0.390031 -0.777507  0.415114
   0.990393  0.390031 -0.727916  0.384735
   0.997592  0.390031 -0.699411  0.367642
   1.000000  0.390031 -0.690134  0.362133
   0.000000  0.409781 -0.591569  0.305123
   0.002408  0.409781 -0.598978  0.309319
   0.009607  0.409781 -0.621720  0.322284
   0.021530  0.409781 -0.661321  0.345189
   0.038060  0.409781 -0.720026  0.379978
   0.059039  0.409781 -0.800041  0.429206
   0.084265  0.409781 -0.901609  0.495242
   0.113495  0.409781 -1.019294  0.577896
   0.146447  0.409781 -1.136783  0.668883
   0.182803  0.409781 -1.222505  0.742194
   0.222215  0.409781 -1.230022  0.748956
   0.264302  0.409781 -1.109424  0.646808
   0.308658  0.409781 -0.855225  0.464545
   0.354858  0.409781 -0.566173  0.290845
   0.402455  0.409781 -0.341968  0.170563
   0.450991  0.409781 -0.177168  0.087049
   0.500000  0.409781 -0.027594  0.013438
   0.549009  0.409781  0.181440 -0.087935
   0.597545  0.409781  0.528974 -0.260316
   0.645142  0.409781  0.825631 -0.426323
   0.691342  0.409781  0.499308 -0.245060
   0.735698  0.409781 -0.329247  0.163995
