Time (s),Delta_Alpha (deg)
1.304330,0.667578
1.306300,0.650987
1.308270,0.636755
1.310240,0.631152
1.312210,0.625549
1.314179,0.619945
1.316149,0.614342
1.318119,0.608739
1.320089,0.603136
1.322058,0.597533
1.324028,0.591930
1.325998,0.586327
1.327968,0.580724
1.329938,0.575120
1.331907,0.569517
1.333877,0.563914
1.335847,0.558311
1.337817,0.552708
1.339786,0.547104
1.341756,0.541501
1.343726,0.535898
1.345696,0.530295
1.347666,0.524691
1.349635,0.519088
1.351605,0.513485
1.353575,0.507882
1.355545,0.502278
1.357514,0.496675
1.359484,0.491072
1.361454,0.485468
1.363424,0.479865
1.365394,0.474262
1.367363,0.468658
1.369333,0.463055
1.371303,0.457452
1.373273,0.451848
1.375242,0.446245
1.377212,0.440641
1.379182,0.435038
1.381152,0.429435
1.383122,0.423831
1.385091,0.418228
1.387061,0.412624
1.389031,0.407021
1.391001,0.401417
1.392970,0.395814
1.394940,0.390210
1.396910,0.384607
1.398880,0.379003
1.400850,0.373400
1.402819,0.367796
1.404789,0.362193
1.406759,0.356589
1.408729,0.350986
1.410698,0.345382
1.412668,0.340063
1.414638,0.337349
1.416608,0.334636
1.418578,0.331923
1.420547,0.329210
1.422517,0.326497
1.424487,0.323784
1.426457,0.321071
1.428426,0.318358
1.430396,0.315644
1.432366,0.312931
1.434336,0.310218
1.436306,0.307505
1.438275,0.304792
1.440245,0.302079
1.442215,0.299366
1.444185,0.296652
1.446154,0.293939
1.448124,0.291226
1.450094,0.288513
1.452064,0.285800
1.454034,0.283087
1.456003,0.280374
1.457973,0.277660
1.459943,0.274947
1.461913,0.272234
1.463882,0.269521
1.465852,0.266808
1.467822,0.264095
1.469792,0.261381
1.471761,0.258668
1.473731,0.255955
1.475701,0.253242
1.477671,0.250529
1.479641,0.247816
1.481610,0.245102
1.483580,0.242389
1.485550,0.239676
1.487520,0.236963
1.489489,0.234250
1.491459,0.231537
1.493429,0.228823
1.495399,0.226110
1.497369,0.223397
1.499338,0.220684
1.501308,0.217971
1.503278,0.215258
1.505248,0.212544
1.507217,0.209831
1.509187,0.207118
1.511157,0.204405
1.513127,0.201692
1.515097,0.198978
1.517066,0.196265
1.519036,0.193552
1.521006,0.190839
1.522976,0.189599
1.524945,0.188455
1.526915,0.187310
1.528885,0.186166
1.530855,0.185022
1.532825,0.183878
1.534794,0.182734
1.536764,0.181590
1.538734,0.180446
1.540704,0.179302
1.542673,0.178158
1.544643,0.177014
1.546613,0.175870
1.548583,0.174726
1.550553,0.173582
1.552522,0.172438
1.554492,0.171294
1.556462,0.170149
1.558432,0.169005
1.560401,0.167861
1.562371,0.166717
1.564341,0.165573
1.566311,0.164429
1.568281,0.163285
1.570250,0.162141
1.572220,0.160997
1.574190,0.159853
1.576160,0.158709
1.578129,0.157565
1.580099,0.156421
1.582069,0.155277
1.584039,0.154132
1.586009,0.152988
1.587978,0.151844
1.589948,0.150700
1.591918,0.149556
1.593888,0.148412
1.595857,0.147268
1.597827,0.146124
1.599797,0.144980
1.601767,0.143836
1.603737,0.142692
1.605706,0.141548
1.607676,0.140404
1.609646,0.139260
1.611616,0.138116
1.613585,0.136971
1.615555,0.135827
1.617525,0.134683
1.619495,0.133539
1.621465,0.132395
1.623434,0.131251
1.625404,0.130107
1.627374,0.129135
1.629344,0.128200
1.631313,0.127265
1.633283,0.126330
1.635253,0.125395
1.637223,0.124460
1.639193,0.123525
1.641162,0.122590
1.643132,0.121655
1.645102,0.120720
1.647072,0.119785
1.649041,0.118849
1.651011,0.117914
1.652981,0.116979
1.654951,0.116044
1.656921,0.115109
1.658890,0.114174
1.660860,0.113239
1.662830,0.112304
1.664800,0.111369
